"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"AAED1",54.1063746879881,-0.0640850873665844,0.144747114828796,-0.44273827110394,0.657955057096155,0.81360583504162,"AAED1"
"AAGAB",500.772793243886,0.126045576290197,0.10125107676864,1.24488134163958,0.213175370352707,0.409305255180218,"AAGAB"
"AAK1",600.562664359705,0.0528368362329212,0.0656448490659404,0.804889294205651,0.420883566850252,0.630125080708222,"AAK1"
"AAMDC",275.559572779965,-0.0465348430252557,0.113537262732746,-0.409864056127489,0.681905673762647,0.829022607829055,"AAMDC"
"AAMP",1518.63295714788,-0.0759041805055917,0.101728138800987,-0.746147343303752,0.455578412850233,0.660747316608853,"AAMP"
"AANAT",2.31709008383271,0.0547471342115025,0.646056737649894,0.0847404430927407,0.932467742647444,0.966932565864512,"AANAT"
"AAR2",638.457266958724,-0.200997992094199,0.123764427935765,-1.62403685329131,0.104367943446479,0.251085816989507,"AAR2"
"AARD",48.0301212271316,-0.531848282590964,0.315120190709001,-1.6877632670707,0.091456681497843,0.228964323342261,"AARD"
"AARS",991.554512064997,-0.0351905796252387,0.153029868395668,-0.229958896221823,0.81812370985253,0.909547252405396,"AARS"
"AARS2",92.2920412979512,-0.132615065483891,0.129891673756605,-1.02096663818798,0.307270245146777,0.519307853016629,"AARS2"
"AARSD1",1.91390411461906,0.180208616890268,0.582695386130641,0.309267279576271,0.757118218824464,NA,"AARSD1"
"AASDH",200.571141485736,0.15481193182416,0.0938390713345031,1.64975984547322,0.0989920645690177,0.241641521181085,"AASDH"
"AASDHPPT",383.358732200289,0.0316123190164296,0.107661772974001,0.293626216094951,0.769043540838208,0.882419899972559,"AASDHPPT"
"AASS",1371.27716877991,-1.27275845462034,0.12873745635064,-9.88646576295359,4.7655587100361e-23,1.36294979107032e-20,"AASS"
"AATF",271.802207605973,-0.326774968823877,0.111652029722952,-2.92672663125534,0.00342549828294572,0.0183863860217943,"AATF"
"AATK",9.03595606032125,-0.683435036958417,0.438283446326557,-1.55934485476598,0.118914780698178,0.274668489191447,"AATK"
"AATK-AS1",0.528687150808987,0.234714595613387,1.22051750056041,0.192307439676708,0.847501391145448,NA,"AATK-AS1"
"ABAT",145.897059621793,-0.505384965979956,0.207914510800876,-2.43073445924116,0.0150682533923975,0.0594233116907021,"ABAT"
"ABCA1",1701.14040896491,-0.598949156539884,0.189198032631784,-3.16572613471914,0.00154696365674067,0.00962432389300802,"ABCA1"
"ABCA10",155.301201092742,-0.0565072883956878,0.267202940265583,-0.211477045647489,0.832515042091327,0.917567587494934,"ABCA10"
"ABCA11P",66.8819613640821,0.36110150524515,0.162200858257447,2.22626137200831,0.0259966792551755,0.0905395070679158,"ABCA11P"
"ABCA12",49.012291752467,0.282141903941316,0.384755734797056,0.733301360901444,0.46337464519538,0.667272070853825,"ABCA12"
"ABCA13",114.802564230738,0.580969163763271,0.380332643737437,1.52752905470913,0.126629508058982,0.286783433805248,"ABCA13"
"ABCA17P",6.12062144913066,-0.16438536212056,0.382285095650229,-0.430007248493319,0.667190368447928,0.819179803506827,"ABCA17P"
"ABCA2",25.5782272212951,0.255146210813387,0.246523134322832,1.03497877192841,0.300678825035275,0.512416190441653,"ABCA2"
"ABCA3",1757.10048647641,-1.00509984337582,0.274949366896712,-3.65558158842169,0.000256599581295871,0.00216701682538188,"ABCA3"
"ABCA4",57.0917002156366,1.82823682805836,0.370225425316991,4.93817199748777,7.88582773507351e-07,1.36133541495026e-05,"ABCA4"
"ABCA5",365.872584707583,-0.375688178445433,0.179214992103889,-2.09629883100209,0.036055690389711,0.115961587654858,"ABCA5"
"ABCA6",526.603176533136,-0.956712397735363,0.164315119210267,-5.82242463343314,5.7999957287793e-09,1.63440467874807e-07,"ABCA6"
"ABCA7",67.5772884996132,-0.0318235953751376,0.219218916385899,-0.14516810820795,0.884578145130635,0.943464678670445,"ABCA7"
"ABCA8",668.579746934954,0.257991003596504,0.205123387723051,1.25773568026691,0.208487363854413,0.403253746459902,"ABCA8"
"ABCA9",241.874749837612,-0.760521891357263,0.243292749075382,-3.12595379125591,0.00177229397586557,0.0107470560650431,"ABCA9"
