"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","8/485","74/18860",0.108108108108108,4.20395653385344,4.48643977432069,0.000614979588792477,0.0348459561367906,0.0297323712239031,"KCNS2/KEL/KCNAB1/CAV1/KCNN2/CACNA1D/KCNG1/AMIGO1",8
"GO:0042476","GO:0042476","odontogenesis","11/485","133/18860",0.0827067669172932,3.2161847918766,4.16691087181936,0.00065393837514238,0.0350262011877504,0.0298861656195962,"TFAP2A/NGFR/TP63/SLC24A4/ALPL/INHBA/PAX9/AQP1/NECTIN1/FAM20A/BMP7",11
"GO:0050900","GO:0050900","leukocyte migration","22/485","397/18860",0.0554156171284635,2.1549248227687,3.77845591912352,0.000657608960298734,0.0350262011877504,0.0298861656195962,"SFTPD/CCL21/AGER/FLT1/LYVE1/CXCL5/SPN/CALCA/CXCL8/EMP2/S1PR1/ALOX5/CCL7/CCR7/IL1B/PLVAP/NLRP12/ITGB7/FAM3D/CXCL9/TRIM55/PDGFD",22
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","14/485","199/18860",0.0703517587939698,2.73574055846242,3.99908301048247,0.000661538892765387,0.0350262011877504,0.0298861656195962,"HHIP/DLL4/TP63/NOTCH4/GPC3/GDNF/HS3ST3A1/HNF1B/NKX2-1/AR/SIX1/SEMA3C/BMP7/EYA1",14
"GO:0090103","GO:0090103","cochlea morphogenesis","5/485","28/18860",0.178571428571429,6.9440353460972,5.11362294368557,0.000663652562088617,0.0350262011877504,0.0298861656195962,"HPN/GRHL3/NECTIN1/SIX1/EYA1",5
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction","6/485","42/18860",0.142857142857143,5.55522827687776,4.80136347644151,0.000670399575306184,0.0350262011877504,0.0298861656195962,"KRT6A/TMPRSS2/FBLN1/LTF/CXCL8/CAV1",6
"GO:0070286","GO:0070286","axonemal dynein complex assembly","6/485","42/18860",0.142857142857143,5.55522827687776,4.80136347644151,0.000670399575306184,0.0350262011877504,0.0298861656195962,"DNAAF3/DNAH3/CFAP100/TEKT2/ZMYND10/DNAAF8",6
"GO:0086009","GO:0086009","membrane repolarization","7/485","58/18860",0.120689655172414,4.69321009598294,4.57648994373052,0.000689351449447616,0.0355546266811251,0.0303370455688081,"KCND2/SLC24A4/KCNJ8/CAV1/KCNN2/CACNA1D/SCN1B",7
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","14/485","201/18860",0.0696517412935323,2.70851925937324,3.95630942646386,0.000729930234494473,0.0367998820576276,0.0313995618326004,"CCL21/AGER/FLT4/ACKR3/INHBA/TEK/ADRA1A/FGA/CCR7/IL1B/FGFR3/PDGFD/PRKCZ/NPY",14
"GO:0031640","GO:0031640","killing of cells of another organism","11/485","135/18860",0.0814814814814815,3.16853760977472,4.10808532597534,0.000740937222636798,0.0367998820576276,0.0313995618326004,"C7/CCL21/KRT6A/C8B/CXCL1/LTF/CXCL8/SCNN1B/RNASE7/CXCL9/C4A",11
"GO:0141061","GO:0141061","disruption of cell in another organism","11/485","135/18860",0.0814814814814815,3.16853760977472,4.10808532597534,0.000740937222636798,0.0367998820576276,0.0313995618326004,"C7/CCL21/KRT6A/C8B/CXCL1/LTF/CXCL8/SCNN1B/RNASE7/CXCL9/C4A",11
