Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"518"	"MEIS2"	"539.8"	"ARCHS4 Coexpression,144;Enrichr Queries,212;ReMap ChIP-seq,291;GTEx Coexpression,1512"	"GPM6A,TENM4,PCDH9,GSTA4,TUBB3,ZBTB16,FHL2,PLXNA4"
"gene_set_query"	"519"	"NFIC"	"539.8"	"ARCHS4 Coexpression,1527;ENCODE ChIP-seq,11;Enrichr Queries,704;ReMap ChIP-seq,45;GTEx Coexpression,412"	"LGI4,ZBTB16,IL1R2,PDCD1LG2,TRAF1,SYT12,PRR15L,PKP1,CCDC33,TNS4,HES2,CAP2"
"gene_set_query"	"520"	"HIVEP2"	"540.7"	"ARCHS4 Coexpression,646;Enrichr Queries,754;GTEx Coexpression,222"	"GPM6A,FHL2,TAGLN3,MAPT,TRAF1,NALCN"
"gene_set_query"	"521"	"HIF3A"	"540.7"	"ARCHS4 Coexpression,1169;Enrichr Queries,45;GTEx Coexpression,408"	"MFAP4,ZBTB16,FAM107A,CYP4B1,FBLN1,PRELP,FBLN2,BMP7,PLXNA4"
"gene_set_query"	"522"	"KLF1"	"542.2"	"Literature ChIP-seq,14;ARCHS4 Coexpression,864;Enrichr Queries,485;ReMap ChIP-seq,214;GTEx Coexpression,1134"	"LGI4,ZBTB16,FHL2,CACNA2D2,PRELP,ALDH3B2,KEL,ITGA11,PI15,PKP1,HAS2,ITGB7,TRIM55,GPIHBP1"
"gene_set_query"	"523"	"MSX2"	"542.3"	"ARCHS4 Coexpression,287;Enrichr Queries,91;GTEx Coexpression,1249"	"CDH6,TFAP2A,NGFR,FHL2,HAS2,CPZ,FBLN2,BMP7"
"gene_set_query"	"524"	"BCL6"	"543.2"	"Literature ChIP-seq,91;ARCHS4 Coexpression,892;Enrichr Queries,794;ReMap ChIP-seq,157;GTEx Coexpression,782"	"CETP,PLLP,ZBTB16,LRRK2,TRAF1,CHRDL2,BMP7,FBLN2,GJB2,TUBB3,MB,SLCO4C1,ITGA11,CHI3L2,PKHD1L1,AMZ1,HES2,GPIHBP1"
"gene_set_query"	"525"	"SREBF2"	"544.0"	"Literature ChIP-seq,136;ARCHS4 Coexpression,1523;ENCODE ChIP-seq,52;Enrichr Queries,1066;ReMap ChIP-seq,175;GTEx Coexpression,312"	"IL11,GSTA4,TUBB3,PLLP,LGI4,TAGLN3,MAPT,TNS4"
"gene_set_query"	"526"	"MAX"	"545.4"	"ARCHS4 Coexpression,336;ENCODE ChIP-seq,48;Enrichr Queries,1031;ReMap ChIP-seq,189;GTEx Coexpression,1123"	"IL11,GPM6A,CETP,HS3ST3A1,COL24A1,PCDH9,LGI4,LRRK2,USP44,F13A1,ADRA1A,CXCL5,CAPN13,GSTA4,TUBB3,ITGA11,PKP1,CAP2"
"gene_set_query"	"527"	"SHOX"	"547.3"	"ARCHS4 Coexpression,673;Enrichr Queries,546;GTEx Coexpression,423"	"TFAP2A,GPM6A,GALNT15,ZBTB16,RORB"
"gene_set_query"	"528"	"IKZF1"	"549.0"	"Literature ChIP-seq,96;ARCHS4 Coexpression,1274;ENCODE ChIP-seq,39;Enrichr Queries,923;ReMap ChIP-seq,159;GTEx Coexpression,803"	"PLLP,LGI4,LRRK2,KCNA3,CDCA7,PDCD1LG2,TRAF1,PRR15L,MB,LAMP3,CCR7,SLC39A8,ITGB7,KCNN2,CCDC141"
"gene_set_query"	"529"	"RUNX2"	"549.0"	"Literature ChIP-seq,13;ARCHS4 Coexpression,1245;Enrichr Queries,735;ReMap ChIP-seq,35;GTEx Coexpression,717"	"HS3ST3A1,GALNT15,HHIP,NOTCH4,LRRK2,FHL2,F13A1,FBLN1,NALCN,ADRA1A,ACOXL,PEBP4,MS4A15,ZNF385B,HAS2,KCNN2,TNS4,IL13RA2,PAMR1,GRIA3,RSPO4,TFAP2A,EGFL6,LGI4,IL1R2,ZBTB16,CACNA2D2,PDCD1LG2,TRAF1,CAPN13,FGF14,GSTA4,SYT12,ITGA11,SLCO4C1,PI15,COL6A6,TRIM55"
"gene_set_query"	"530"	"SPI1"	"549.5"	"Literature ChIP-seq,62;ARCHS4 Coexpression,1099;ENCODE ChIP-seq,45;Enrichr Queries,940;ReMap ChIP-seq,212;GTEx Coexpression,939"	"BTNL9,KCNA3,F13A1,PDCD1LG2,CAPN13,MMP11,SYT12,MB,CA4,CHI3L2,ITGB7,CCR7,CCDC33,CCDC141,RSPO4"
