"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"MMP11",32.6883646378296,3.94013727199693,0.459575123653114,8.57343461211998,1.00443570523215e-17,1.36503524706797e-15,"MMP11"
"SNAP25",73.5116384299856,2.56505051806673,0.29970910025761,8.55846724661341,1.14377964121703e-17,1.53266471923082e-15,"SNAP25"
"CDH6",448.951423445799,1.18401568545786,0.138365870987768,8.55713679251534,1.15705212712897e-17,1.53968283750315e-15,"CDH6"
"SYTL2",430.628018873969,1.32866208390104,0.155437680922546,8.54787639660623,1.25373877118172e-17,1.65683740230235e-15,"SYTL2"
"ITGB7",58.7841753254705,1.45009467331566,0.169712973235135,8.54439496093545,1.29211425622369e-17,1.68431927739853e-15,"ITGB7"
"ACADL",273.736870217268,-1.8752894607615,0.219742609659559,-8.53402744086292,1.41339295320758e-17,1.82996187630836e-15,"ACADL"
"ALDH6A1",345.695891636934,-1.26503906354524,0.148400677984851,-8.52448304632665,1.53493789190636e-17,1.97399193857112e-15,"ALDH6A1"
"TFCP2L1",332.45155622667,-2.26983692682131,0.266613715540007,-8.51357898907759,1.68645521916636e-17,2.15439032731105e-15,"TFCP2L1"
"VSNL1",90.9310431105709,1.60580924310896,0.188684266732239,8.51056249108335,1.73091587819048e-17,2.19654371244278e-15,"VSNL1"
"HRH1",210.225113598845,1.09928652294569,0.129383323208347,8.49635405619859,1.956386408276e-17,2.466333970749e-15,"HRH1"
"CCL24",168.098467239286,3.39444431461849,0.399578313059234,8.49506643298555,1.97819735339995e-17,2.47753056770261e-15,"CCL24"
"ADHFE1",256.286375945856,-1.43210357722757,0.168607298293924,-8.49372234605797,2.00122067028997e-17,2.4900902911751e-15,"ADHFE1"
"ROR2",60.9279886785806,1.7308402994809,0.204016034716396,8.48384442863497,2.17873016694587e-17,2.6934727392914e-15,"ROR2"
"SSPN",304.078192578617,1.43053139932592,0.168817200175063,8.47384862349611,2.37415907129494e-17,2.91625872590729e-15,"SSPN"
"GLI1",35.7854602209305,2.18312850583672,0.258080124076286,8.45911134633292,2.69422699845976e-17,3.28832979264242e-15,"GLI1"
"CCL22",248.098264929458,3.50735803447067,0.415026824829041,8.45091889160523,2.89018994300846e-17,3.48313331370617e-15,"CCL22"
"ITIH5",381.243876636263,1.27390298235606,0.150735545903014,8.45124469297849,2.8821349154176e-17,3.48313331370617e-15,"ITIH5"
"PLA2G4F",465.675233186217,-1.88479175346556,0.223522373696966,-8.43222860553912,3.39143639922877e-17,4.0364412597529e-15,"PLA2G4F"
"IGF1",929.80206138615,2.12989643821663,0.253891379138109,8.38900653282141,4.90267461676143e-17,5.7990772226162e-15,"IGF1"
"ZFAND5",1043.78548183997,-1.07563663841288,0.128239211942908,-8.38773587357783,4.95594124528476e-17,5.82611939522372e-15,"ZFAND5"
"MS4A15",636.489864860761,-2.20336414261608,0.263327420656208,-8.36739347966621,5.89067330377785e-17,6.84103526345402e-15,"MS4A15"
"C1orf21",355.792958010007,-1.03088718242501,0.12346319440585,-8.34975303681405,6.84058465926352e-17,7.84905887669506e-15,"C1orf21"
